model_id,priority_group,runner_family,available_locally,source_path,interface_status,candidate_inflation_vars,candidate_output_gap_vars,candidate_policy_rate_vars
pyfrbus,priority,pyfrbus,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\frbus_extracted\pyfrbus\models\model.xml,mapping_stub_ready,"capital, cpi, dmpintay, dmptpi, dmptpi_aerr, empirical, episode, fpi10","dpgap, dpgap_aerr, fxgap, fxgap_aerr, gap, gaps, xgap, xgap2","cointegrating, concentrated, constraint, constraints, corporate, delrff, delrff_aerr, dmpintay"
US_FRB03,priority,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\US_FRB03\US_FRB03_rep\US_FRB03_rep.mod,mapping_stub_ready,"inflation, inflationq, lagpi1, lagpi2, lagpi3, lagpi4, leadpi0, leadpi1","lzgapc1, lzgapc2, lzgapc3, outputgap, xgap, xgap2, xgap2f2, xgap2f4","drffe, generated, gfintn1, gfintnr, gsintn1, gsintn2, gsintnr, interest"
US_SW07,priority,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\US_SW07\US_SW07_rep\US_SW07_rep.mod,mapping_stub_ready,"capital, constepinf, cpie, crdpi, crhopinf, crpi, epinf, epinfma",gap,"constraint, ffr, interest, intertemporal, noprint, rate"
US_CCTW10,priority,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\US_CCTW10\Code_CCTW_2010_JEDC\SW_US_fiscal.mod,mapping_stub_ready,"capital, constepinf, cpie, crdpi, crhopinf, crpi, epinf, epinfma","gap, outputgap","cofintinf0, cofintinfb1, cofintinfb2, cofintinfb3, cofintinfb4, cofintinff1, cofintinff2, cofintinff3"
US_CPS10,priority,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\US_CPS10\US_CPS10_rep\US_CPS10_rep1.mod,mapping_stub_ready,"housekeeping, inflation, inflgap, pit, pits, rhopit, sdpit","gap, inflgap, outpgap","balint, calibrated, interest, rate"
US_KS15,priority,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\US_KS15\US_KS15_replication\US_KS15_R3.mod,mapping_stub_ready,"inflation, pit, rho_pi",,"interest, rate"
US_RA07,priority,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\US_RA07\replication_code\replication_code.mod,mapping_stub_ready,"capital, inflation, pi, pi_epsa, pi_epsa_baselineestimation, pi_epsg, pi_epsg_baselineestimation, pi_epsp",omegap,"constraint, interest, rate"
NK_CW09,fallback,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\NK_CW09\NK_CW09.mod,mapping_stub_ready,"inflation, inflationq, phi_pi, pi, pi_b, pi_bar, pi_hat, pi_hat_a",outputgap,"cofintinf0, cofintinfb1, cofintinfb2, cofintinfb3, cofintinfb4, cofintinff1, cofintinff2, cofintinff3"
NK_CFP10,fallback,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\NK_CFP10\NK_CFP10_rep\NK_CFP10_rep.mod,mapping_stub_ready,"capital, eps_pi, eta_pi, inflation, pi, rho_pi",gap,"constraint, interest, noprint, rate"
NK_GLSV07,fallback,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\NK_GLSV07\NK_GLSV07_rep\NK_GLSV07_iclm_rep.mod,mapping_stub_ready,"capital, inflation, phi_pi, pi",,"generated, noprint, rate"
NK_GK13,fallback,dynare_mmb,True,C:\Users\Laplace\Documents\Code\MonetaryRL\external_models\mmb_extracted\mmb-rep-master\NK_GK13\NK_GK13_rep\NK_GK13_rep.mod,mapping_stub_ready,"capital, infl, infl_ss, inflstar, inflstar_ss, inflstarf, kappa_pi, kappa_pi_ex",,"constraint, corporate, interest, intermediaries, intermediary, intermediate, international, rate"
